,Country,Population 2024,Density (/km2),Log GDP per capita,happiness_score
0,India,1441719852,485.0,1.166,0.8490000000000002
1,China,1425178782,151.0,1.497,1.2161428571428572
2,United States,341814420,37.0,1.939,1.3284285714285713
3,Indonesia,279798049,149.0,1.361,1.1924285714285716
4,Pakistan,245209815,318.0,1.069,0.8842857142857142
5,Nigeria,229152217,252.0,1.042,0.9942857142857143
6,Brazil,217637297,26.0,1.43,1.251714285714286
7,Bangladesh,174701211,1342.0,1.122,0.7708571428571428
8,Russia,143957079,9.0,1.642,1.1764285714285714
9,Ethiopia,129719719,115.0,0.792,0.8294285714285714
10,Mexico,129388467,67.0,1.521,1.3062857142857143
11,Japan,122631432,336.0,1.786,1.2335714285714285
12,Philippines,119106224,399.0,1.232,1.2034285714285715
13,Egypt,114484252,115.0,1.37,0.8167142857142858
14,Vietnam,99497680,317.0,1.331,1.2322857142857142
15,Iran,89809781,55.0,1.435,1.0154285714285713
16,Germany,83252474,238.0,1.871,1.3309999999999997
17,Thailand,71885799,141.0,1.484,1.2797142857142858
18,Tanzania,69419073,78.0,0.82,0.7871428571428571
19,United Kingdom,67961439,281.0,1.822,1.3394285714285712
20,France,64881830,118.0,1.818,1.3092857142857142
21,South Africa,61020221,50.0,1.389,1.0991428571428572
22,Italy,58697744,198.0,1.8,1.2747142857142857
23,Kenya,56203030,99.0,1.037,0.9214285714285715
24,Myanmar,54964694,84.0,0.978,0.9221428571428572
25,Colombia,52340774,47.0,1.437,1.1772857142857143
26,South Korea,51741963,530.0,1.815,1.2184285714285714
27,Uganda,49924252,249.0,0.772,0.9438571428571427
28,Spain,47473373,95.0,1.766,1.3117142857142858
29,Iraq,46523657,107.0,1.249,1.0254285714285716
30,Algeria,46278751,19.0,1.324,1.0372857142857141
31,Argentina,46057866,17.0,1.562,1.2631428571428571
32,Afghanistan,43372950,66.0,0.628,0.28085714285714286
33,Poland,40221726,131.0,1.738,1.286285714285714
34,Canada,39107046,4.0,1.84,1.378857142857143
35,Morocco,38211459,86.0,1.213,0.9074285714285715
36,Ukraine,37937821,65.0,1.35,1.0845714285714287
37,Saudi Arabia,37473929,17.0,1.842,1.3112857142857144
38,Uzbekistan,35673804,81.0,1.212,1.2855714285714286
39,Yemen,35219853,67.0,0.671,0.7805714285714285
40,Mozambique,34858402,44.0,0.56,0.9921428571428572
41,Ghana,34777522,153.0,1.077,0.882
42,Peru,34683444,27.0,1.371,1.1924285714285714
43,Malaysia,34671895,106.0,1.646,1.227714285714286
44,Nepal,31240315,218.0,0.965,1.0482857142857143
45,Madagascar,31056610,53.0,0.628,0.8118571428571428
46,Ivory Coast,29603302,93.0,1.08,0.9212857142857144
47,Venezuela,29395334,33.0,0.0,1.1489999999999998
48,Cameroon,29394433,62.0,0.943,0.9435714285714286
49,Niger,28238972,22.0,0.573,0.877
50,Australia,26699482,3.0,1.854,1.4097142857142857
51,Mali,24015789,20.0,0.747,0.8290000000000001
52,Burkina Faso,23840247,87.0,0.756,0.8548571428571429
53,Sri Lanka,21949268,355.0,1.361,0.9084285714285716
54,Malawi,21475962,228.0,0.617,0.6785714285714285
55,Zambia,21134695,28.0,0.899,0.7658571428571429
56,Kazakhstan,19828165,7.0,1.622,1.2804285714285715
57,Chile,19658839,26.0,1.616,1.2992857142857146
58,Romania,19618996,85.0,1.699,1.2945714285714285
59,Chad,18847148,15.0,0.603,0.8558571428571426
60,Ecuador,18377367,74.0,1.315,1.1615714285714287
61,Guatemala,18358430,171.0,1.26,1.2407142857142859
62,Senegal,18221567,95.0,0.927,0.9717142857142859
63,Netherlands,17671125,525.0,1.901,1.441
64,Cambodia,17121847,97.0,1.011,0.9662857142857144
65,Zimbabwe,17020321,44.0,0.748,0.6964285714285714
66,Guinea,14528770,59.0,0.831,0.9292857142857142
67,Benin,14080072,125.0,0.914,0.7451428571428572
68,Bolivia,12567336,12.0,1.217,1.1727142857142856
69,Tunisia,12564689,81.0,1.306,0.8879999999999999
70,Belgium,11715774,387.0,1.868,1.373142857142857
71,Dominican Republic,11434005,237.0,1.517,1.1751428571428573
72,Jordan,11384922,128.0,1.262,0.8894285714285715
73,Honduras,10759406,96.0,1.091,1.1884285714285716
74,Sweden,10673669,26.0,1.878,1.4434285714285713
75,Azerbaijan,10462904,127.0,1.433,0.9780000000000001
76,Tajikistan,10331513,74.0,,
77,Greece,10302720,80.0,1.684,1.166857142857143
78,Portugal,10223349,112.0,1.728,1.2665714285714287
79,Hungary,9994993,110.0,1.722,1.2539999999999998
80,United Arab Emirates,9591853,135.0,1.983,1.3179999999999998
81,Israel,9311652,430.0,1.803,1.4564285714285714
82,Togo,9260864,170.0,0.758,0.7920000000000001
83,Sierra Leone,8977972,124.0,0.654,0.6658571428571429
84,Austria,8977139,109.0,1.885,1.364142857142857
85,Switzerland,8851431,224.0,1.97,1.380857142857143
86,Laos,7736681,34.0,1.208,1.0295714285714286
87,Nicaragua,7142529,59.0,1.097,1.2520000000000002
88,Serbia,7097028,81.0,1.538,1.307
89,Libya,6964197,4.0,1.526,1.1449999999999998
90,Paraguay,6947270,17.0,1.398,1.2554285714285716
91,Kyrgyzstan,6839606,36.0,1.054,1.2582857142857145
92,Bulgaria,6618615,61.0,1.629,1.1708571428571428
93,El Salvador,6396289,309.0,1.265,1.2491428571428573
94,Singapore,6052709,8430.0,2.118,1.284142857142857
95,Denmark,5939695,148.0,1.908,1.4687142857142859
96,Slovakia,5702832,116.0,1.706,1.2912857142857146
97,Finland,5549886,18.0,1.844,1.4947142857142857
98,Liberia,5536949,57.0,0.619,0.8417142857142857
99,Norway,5514477,15.0,1.952,1.4425714285714286
100,New Zealand,5269939,20.0,1.81,1.3887142857142858
101,Costa Rica,5246714,103.0,1.561,1.3960000000000001
102,Lebanon,5219044,510.0,1.377,0.5788571428571428
103,Ireland,5089478,74.0,2.129,1.3532857142857144
104,Mauritania,4993922,5.0,1.078,0.8411428571428571
105,Panama,4527961,61.0,1.702,1.3032857142857144
106,Kuwait,4349380,244.0,1.845,1.4044285714285711
107,Croatia,3986627,71.0,1.71,1.2162857142857144
108,Georgia,3717425,53.0,1.467,1.0292857142857141
109,Mongolia,3493629,2.0,1.353,1.1842857142857144
110,Uruguay,3423316,20.0,1.596,1.3278571428571428
111,Moldova,3329865,101.0,1.385,1.1947142857142856
112,Bosnia and Herzegovina,3194378,62.0,1.465,1.2355714285714288
113,Gambia,2841803,281.0,0.75,0.8905714285714286
114,Albania,2826020,103.0,1.438,1.0921428571428573
115,Jamaica,2824738,261.0,1.28,1.2058571428571427
116,Armenia,2777979,98.0,1.444,1.1057142857142856
117,Botswana,2719694,5.0,1.445,0.7274285714285715
118,Lithuania,2692798,43.0,1.766,1.3330000000000002
119,Namibia,2645805,3.0,1.266,0.9755714285714285
120,Gabon,2484557,10.0,1.403,0.9927142857142858
121,Lesotho,2356083,78.0,0.771,0.6509999999999999
122,Slovenia,2118965,105.0,1.786,1.3935714285714287
123,North Macedonia,2082706,83.0,1.475,1.1391428571428572
124,Latvia,1810240,29.0,1.7,1.288714285714286
125,Bahrain,1498712,1909.0,,
126,Estonia,1319041,31.0,1.752,1.3145714285714287
127,Mauritius,1301978,641.0,1.57,1.187142857142857
128,Cyprus,1268467,137.0,1.794,1.2332857142857143
129,Eswatini,1222075,71.0,1.255,0.6900000000000001
130,Comoros,867605,466.0,0.896,0.629142857142857
131,Luxembourg,661594,257.0,2.141,1.385714285714286
132,Montenegro,626102,47.0,1.571,1.1745714285714286
133,Malta,536740,1677.0,1.827,1.3355714285714286
134,Iceland,377689,4.0,1.881,1.536428571428571
